ein,commonName,website,slogan
"27-2614911","Institute for Nonprofit News","https://inn.org","The Institute for Nonprofit News strengthens and supports more than 425 independent news organizations in a new kind of news network: nonprofit, nonpartisan and dedicated to public service."
"84-2113822","States Newsroom","https://statesnewsroom.com","We believe that no matter who you are or where you live, you need access to high-quality, non-partisan reporting on the crucial issues of our time."
"81-1054499","City Bureau NFP","https://www.citybureau.org","City Bureau brings people together to produce media that is impactful, equitable and responsive to the public."
