ORG_CODE,District_Name,COUNTY,Grade,District_Total,Black,Asian,Hispanic,Multiracial,NativeAmerican,NativeHawaiianPacificIslander,White,Black%,Asian%,Hispanic%,Multiracial%,NativeAmerican%,NativeHawaiianPacificIslander%,White%
0171,Marshfield,Plymouth,PK,129,1,0,0,1,0,0,127,0.78%,0.00%,0.00%,0.78%,0.00%,0.00%,98.45%
0172,Mashpee,Barnstable,Gr.1,95,3,1,13,15,3,0,60,3.16%,1.05%,13.68%,15.79%,3.16%,0.00%,63.16%
0172,Mashpee,Barnstable,Gr.2,111,2,1,4,15,6,0,83,1.80%,0.90%,3.60%,13.51%,5.41%,0.00%,74.77%
0172,Mashpee,Barnstable,Gr.3,100,7,1,6,13,9,0,64,7.00%,1.00%,6.00%,13.00%,9.00%,0.00%,64.00%
0172,Mashpee,Barnstable,Gr.4,120,6,2,10,10,8,0,84,5.00%,1.67%,8.33%,8.33%,6.67%,0.00%,70.00%
0172,Mashpee,Barnstable,Gr.5,117,2,2,8,11,8,0,86,1.71%,1.71%,6.84%,9.40%,6.84%,0.00%,73.50%
0172,Mashpee,Barnstable,Gr.6,123,6,2,4,6,8,0,97,4.88%,1.63%,3.25%,4.88%,6.50%,0.00%,78.86%
0172,Mashpee,Barnstable,Gr.7,147,6,5,5,16,8,0,107,4.08%,3.40%,3.40%,10.88%,5.44%,0.00%,72.79%
0172,Mashpee,Barnstable,Gr.8,109,4,3,4,7,6,0,85,3.67%,2.75%,3.67%,6.42%,5.50%,0.00%,77.98%
0172,Mashpee,Barnstable,Gr.9,119,8,4,2,6,10,0,89,6.72%,3.36%,1.68%,5.04%,8.40%,0.00%,74.79%
0172,Mashpee,Barnstable,Gr.10,116,5,3,5,10,6,1,86,4.31%,2.59%,4.31%,8.62%,5.17%,0.86%,74.14%
0172,Mashpee,Barnstable,Gr.11,113,5,4,6,2,7,0,89,4.42%,3.54%,5.31%,1.77%,6.19%,0.00%,78.76%
0172,Mashpee,Barnstable,Gr.12,106,7,3,6,6,3,0,81,6.60%,2.83%,5.66%,5.66%,2.83%,0.00%,76.42%
0172,Mashpee,Barnstable,SPED_Beyond_Grade_12,0,***,***,***,***,***,***,***,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0172,Mashpee,Barnstable,K,96,5,2,9,11,2,0,67,5.21%,2.08%,9.38%,11.46%,2.08%,0.00%,69.79%
0172,Mashpee,Barnstable,PK,91,1,2,7,8,1,1,71,1.10%,2.20%,7.69%,8.79%,1.10%,1.10%,78.02%
0173,Mattapoisett,Plymouth,Gr.1,58,0,0,4,4,0,0,50,0.00%,0.00%,6.90%,6.90%,0.00%,0.00%,86.21%
0173,Mattapoisett,Plymouth,Gr.2,60,0,2,3,5,0,0,50,0.00%,3.33%,5.00%,8.33%,0.00%,0.00%,83.33%
0173,Mattapoisett,Plymouth,Gr.3,57,0,0,1,3,0,0,53,0.00%,0.00%,1.75%,5.26%,0.00%,0.00%,92.98%
0173,Mattapoisett,Plymouth,Gr.4,62,1,1,5,4,0,0,51,1.61%,1.61%,8.06%,6.45%,0.00%,0.00%,82.26%
0173,Mattapoisett,Plymouth,Gr.5,55,0,1,2,1,0,0,51,0.00%,1.82%,3.64%,1.82%,0.00%,0.00%,92.73%
0173,Mattapoisett,Plymouth,Gr.6,75,1,1,1,2,0,0,70,1.33%,1.33%,1.33%,2.67%,0.00%,0.00%,93.33%
0173,Mattapoisett,Plymouth,Gr.7,0,***,***,***,***,***,***,***,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0173,Mattapoisett,Plymouth,Gr.8,0,***,***,***,***,***,***,***,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0173,Mattapoisett,Plymouth,Gr.9,0,***,***,***,***,***,***,***,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0173,Mattapoisett,Plymouth,Gr.10,0,***,***,***,***,***,***,***,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0173,Mattapoisett,Plymouth,Gr.11,0,***,***,***,***,***,***,***,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0173,Mattapoisett,Plymouth,Gr.12,0,***,***,***,***,***,***,***,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0173,Mattapoisett,Plymouth,SPED_Beyond_Grade_12,0,***,***,***,***,***,***,***,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0173,Mattapoisett,Plymouth,K,52,0,0,0,4,0,0,48,0.00%,0.00%,0.00%,7.69%,0.00%,0.00%,92.31%
0173,Mattapoisett,Plymouth,PK,23,0,0,2,0,0,0,21,0.00%,0.00%,8.70%,0.00%,0.00%,0.00%,91.30%
0174,Maynard,Middlesex,Gr.1,100,4,0,16,2,0,0,78,4.00%,0.00%,16.00%,2.00%,0.00%,0.00%,78.00%
0174,Maynard,Middlesex,Gr.2,112,1,1,17,8,0,0,85,0.89%,0.89%,15.18%,7.14%,0.00%,0.00%,75.89%
0174,Maynard,Middlesex,Gr.3,99,1,0,15,8,0,0,75,1.01%,0.00%,15.15%,8.08%,0.00%,0.00%,75.76%
0174,Maynard,Middlesex,Gr.4,100,1,1,13,6,0,0,79,1.00%,1.00%,13.00%,6.00%,0.00%,0.00%,79.00%
