commonName,legalName,website,location,state,newengland
Limestone Post Magazine,,https://limestonepost.org,Bloomington,IN,non-YA
Local Journalism Initiative of Delaware,,https://ljidelaware.org,Wilmington,DE,non-YA
LkldNow,,https://lkldnow.com,Lakeland,FL,non-YA
Bay City News Foundation,,https://localnewsmatters.org,Berkeley,CA,non-YA
"Lookout Local, Inc.",,https://lookoutlocal.com,Aptos,CA,non-YA
LOOKOUT,,https://lookoutphx.org,Phoenix,AZ,non-YA
"Macon Newsroom, The",,https://macon-newsroom.com,Macon,GA,non-YA
Madison365,365 Media,https://madison365.org,Madison,WI,non-YA
Maryland Matters,,https://marylandmatters.org,Takoma Park,MD,non-YA
Maryland Reporter,,https://marylandreporter.com,Columbia,MD,non-YA
Matter News,,https://matternews.org,Columbus,OH,non-YA
MedicateOH,,https://medicateoh.com,Cincinnati,OH,non-YA
The Mendocino Voice,,https://mendovoice.com,Ukiah,CA,non-YA
Mid Story,,https://midstory.org,Toledo,OH,non-YA
Milwaukee Neighborhood News Service,,https://milwaukeenns.org,Milwaukee,WI,non-YA
Mississippi Free Press,,https://mississippifreepress.org,Jackson,MS,non-YA
Mississippi Today,,https://mississippitoday.org,Ridgeland,MS,non-YA
MIWISCONSIN,,https://miwisconsin.com,Madison,WI,non-YA
MLK50: Justice Through Journalism,,https://mlk50.com,Memphis,TN,non-YA
Mountain Journal,,https://mountainjournal.org,Bozeman,MT,non-YA
MuckRock,,https://muckrock.com,Somerville,MA,non-YA
MyMCMedia,,https://mymcmedia.org,Silver Spring,MD,non-YA
Flatwater Free Press,,https://nebraskajournalismtrust.org,Omaha,NE,non-YA
New Hampshire Bulletin,,https://newhampshirebulletin.com,Concord,NH,non-YA
New Haven Independent,,https://newhavenindependent.org,New Haven,CT,non-YA
Valley Independent Sentinel,Online Journalism Project,https://newhavenindependent.org,lower Naugatuck Valley,CT,non-YA
NJ Spotlight,,https://njspotlight.com,Montclair,NJ,non-YA
Northern Kentucky Tribune,,https://nkytribune.com,Edgewood,KY,non-YA
NonDoc Media,Sustainable Journalism Foundation,https://nondoc.com,Oklahoma City,OK,non-YA
Noozhawk,,https://noozhawk.com,Santa Barbara,CA,non-YA
The Northeast News,,https://northeastnews.net,Kansas City,MO,non-YA
NOWCastSA,,https://nowcastsa.com,San Antonio,TX,non-YA
NUVO,,https://nuvo.net,Indianapolis,IN,non-YA
New York Focus,,https://nysfocus.com,New York,NY,non-YA
The Oaklandside,,https://oaklandside.org,Oakland,CA,non-YA
"Objective, The",,https://objectivejournalism.org,Ames,IA,non-YA
Ocean State Stories,,https://oceanstatestories.org,Newport,RI,non-YA
Open Campus,,https://opencampusmedia.org,Washington,DC,non-YA
Open Vallejo,,https://openvallejo.org,Oakland,CA,non-YA
Outlier Media,,https://outliermedia.org,Detroit,MI,non-YA
Oviedo Community News,,https://oviedocommunitynews.org,Orlando,FL,non-YA
Centro de Periodismo Investigativo,,https://periodismoinvestigativo.com,San Juan,PR,non-YA
Philadelphia Obituary Project,,https://phillyobitproject.com,Philadelphia,PA,non-YA
PhinneyWood.com,,https://phinneywood.com,Seattle,WA,non-YA
Pikes Peak Bulletin,,https://pikespeakbulletin.com,Manitou Springs,CO,non-YA
Pine Tree Watch,,https://pinetreewatch.org,Hallowell,ME,non-YA
Planet Detroit,,https://planetdetroit.org,Detroit,MI,non-YA
PolitiFact,,https://politifact.com,St. Petersburg,FL,non-YA
PublicSource,,https://publicsource.org,Pittsburgh,PA,non-YA
Public Square Amplified,,https://publicsq.org,Newark,NJ,non-YA
Pueblo Star Journal,,https://pueblostarjournal.org,Pueblo,CO,non-YA
The Providence Eye,,https://pvdeye.org,Providence,RI,non-YA
"Que Pasa, Midwest?",,https://quepasapodcast.com,Evansville,IN,non-YA
