DORCode,LEACode,Municipality,County,CherrySheetFY,Population,DORIncome,DORIncomePerCapita,EQV,EQVPerCapita
269,269,Sherborn,MIDDLESEX,2023,"4,401","946,102,000","214,974","1,380,482,500","313,675"
270,270,Shirley,MIDDLESEX,2023,"7,431","226,197,000","30,440","778,088,400","104,708"
271,271,Shrewsbury,WORCESTER,2023,"38,325","2,287,457,000","59,686","6,818,364,500","177,909"
272,272,Shutesbury,FRANKLIN,2023,"1,717","53,151,000","30,956","243,958,800","142,084"
273,273,Somerset,BRISTOL,2023,"18,303","613,284,000","33,507","2,395,477,400","130,879"
274,274,Somerville,MIDDLESEX,2023,"81,045","4,174,809,000","51,512","19,987,384,600","246,621"
275,278,South Hadley,HAMPSHIRE,2023,"18,150","594,304,000","32,744","1,745,214,700","96,155"
276,275,Southampton,HAMPSHIRE,2023,"6,224","297,008,000","47,720","841,345,200","135,178"
277,276,Southborough,WORCESTER,2023,"10,450","1,288,143,000","123,267","2,780,408,500","266,068"
278,277,Southbridge,WORCESTER,2023,"17,740","381,782,000","21,521","1,200,715,500","67,684"
279,279,Southwick,HAMPDEN,2023,"9,232","389,507,000","42,191","1,204,413,300","130,461"
280,280,Spencer,WORCESTER,2023,"11,992","358,964,000","29,934","1,231,722,600","102,712"
281,281,Springfield,HAMPDEN,2023,"155,929","2,625,647,000","16,839","9,395,931,000","60,258"
282,282,Sterling,WORCESTER,2023,"7,985","410,246,000","51,377","1,256,274,900","157,329"
283,283,Stockbridge,BERKSHIRE,2023,"2,018","99,219,000","49,167","951,374,700","471,444"
284,284,Stoneham,MIDDLESEX,2023,"23,244","1,110,699,000","47,784","4,676,207,700","201,179"
285,285,Stoughton,NORFOLK,2023,"29,281","1,044,063,000","35,657","4,681,174,300","159,871"
286,286,Stow,MIDDLESEX,2023,"7,174","550,317,000","76,710","1,445,144,700","201,442"
287,287,Sturbridge,WORCESTER,2023,"9,867","477,556,000","48,399","1,458,329,400","147,799"
288,288,Sudbury,MIDDLESEX,2023,"18,934","2,280,904,000","120,466","5,131,906,400","271,042"
289,289,Sunderland,FRANKLIN,2023,"3,663","109,964,000","30,020","388,097,600","105,951"
290,290,Sutton,WORCESTER,2023,"9,357","544,119,000","58,151","1,666,618,900","178,115"
291,291,Swampscott,ESSEX,2023,"15,111","1,090,821,000","72,187","3,428,507,500","226,888"
292,292,Swansea,BRISTOL,2023,"17,144","591,781,000","34,518","2,431,716,500","141,841"
293,293,Taunton,BRISTOL,2023,"59,408","1,604,932,000","27,015","6,152,158,200","103,558"
294,294,Templeton,WORCESTER,2023,"8,149","234,294,000","28,751","731,826,100","89,806"
295,295,Tewksbury,MIDDLESEX,2023,"31,342","1,368,087,000","43,650","5,637,921,800","179,884"
296,296,Tisbury,DUKES,2023,"4,815","104,294,400","21,660","3,224,394,300","669,656"
297,297,Tolland,HAMPDEN,2023,471,"12,552,000","26,650","196,506,400","417,211"
