DORCode,LEACode,Municipality,County,CherrySheetFY,Population,DORIncome,DORIncomePerCapita,EQV,EQVPerCapita
130,130,Heath,FRANKLIN,2023,723,"9,390,000","12,988","96,423,600","133,366"
131,131,Hingham,PLYMOUTH,2023,"24,284","3,107,735,000","127,975","7,942,260,800","327,057"
132,132,Hinsdale,BERKSHIRE,2023,"1,919","73,337,000","38,216","323,523,800","168,590"
133,133,Holbrook,NORFOLK,2023,"11,405","372,777,000","32,685","1,455,967,400","127,660"
134,134,Holden,WORCESTER,2023,"19,905","913,423,000","45,889","2,669,892,800","134,132"
135,135,Holland,HAMPDEN,2023,"2,603","89,724,000","34,469","368,404,300","141,531"
136,136,Holliston,MIDDLESEX,2023,"14,996","1,295,623,000","86,398","2,882,048,100","192,188"
137,137,Holyoke,HAMPDEN,2023,"38,238","754,071,000","19,720","2,379,718,800","62,234"
138,138,Hopedale,WORCESTER,2023,"6,017","280,469,000","46,613","867,520,800","144,178"
139,139,Hopkinton,MIDDLESEX,2023,"18,758","1,631,987,000","87,002","4,454,778,900","237,487"
140,140,Hubbardston,WORCESTER,2023,"4,328","167,723,000","38,753","527,028,100","121,772"
141,141,Hudson,MIDDLESEX,2023,"20,092","833,465,000","41,482","3,166,995,200","157,625"
142,142,Hull,PLYMOUTH,2023,"10,072","494,319,000","49,079","2,567,554,800","254,920"
143,143,Huntington,HAMPSHIRE,2023,"2,094","68,901,000","32,904","203,312,000","97,093"
144,144,Ipswich,ESSEX,2023,"13,785","949,198,000","68,857","3,246,602,500","235,517"
145,145,Kingston,PLYMOUTH,2023,"13,708","612,825,000","44,706","2,303,085,100","168,010"
146,146,Lakeville,PLYMOUTH,2023,"11,523","506,180,000","43,928","2,033,953,800","176,513"
147,147,Lancaster,WORCESTER,2023,"8,441","323,775,000","38,357","1,088,038,600","128,899"
148,148,Lanesborough,BERKSHIRE,2023,"3,038","89,385,000","29,422","426,435,400","140,367"
149,149,Lawrence,ESSEX,2023,"89,143","1,535,412,000","17,224","5,310,863,600","59,577"
150,150,Lee,BERKSHIRE,2023,"5,788","192,660,000","33,286","1,039,758,100","179,640"
151,151,Leicester,WORCESTER,2023,"11,087","367,953,000","33,188","1,145,368,600","103,307"
152,152,Lenox,BERKSHIRE,2023,"5,095","285,824,000","56,099","1,351,518,200","265,264"
153,153,Leominster,WORCESTER,2023,"43,782","1,313,291,000","29,996","4,405,389,500","100,621"
154,154,Leverett,FRANKLIN,2023,"1,865","83,155,000","44,587","291,826,100","156,475"
155,155,Lexington,MIDDLESEX,2023,"34,454","4,526,816,000","131,387","13,471,181,900","390,990"
156,156,Leyden,FRANKLIN,2023,734,"22,145,000","30,170","95,052,200","129,499"
157,157,Lincoln,MIDDLESEX,2023,"7,014","1,095,611,000","156,203","2,323,751,900","331,302"
158,158,Littleton,MIDDLESEX,2023,"10,141","593,447,000","58,520","2,226,110,600","219,516"
159,159,Longmeadow,HAMPDEN,2023,"15,853","1,233,310,000","77,797","2,309,114,600","145,658"
160,160,Lowell,MIDDLESEX,2023,"115,554","2,668,420,000","23,092","9,848,176,600","85,226"
161,161,Ludlow,HAMPDEN,2023,"21,002","640,417,000","30,493","2,262,713,800","107,738"
162,162,Lunenburg,WORCESTER,2023,"11,782","480,516,000","40,784","1,672,175,900","141,926"
163,163,Lynn,ESSEX,2023,"101,253","2,257,096,000","22,292","9,814,969,600","96,935"
164,164,Lynnfield,ESSEX,2023,"13,000","1,147,737,000","88,287","3,508,636,700","269,895"
165,165,Malden,MIDDLESEX,2023,"66,263","1,941,308,000","29,297","9,209,316,800","138,981"
166,166,Manchester By The Sea,ESSEX,2023,"5,395","969,723,000","179,745","2,662,108,600","493,440"
167,167,Mansfield,BRISTOL,2023,"23,860","1,286,584,000","53,922","4,294,632,400","179,993"
168,168,Marblehead,ESSEX,2023,"20,441","1,923,335,000","94,092","6,959,309,400","340,458"
169,169,Marion,PLYMOUTH,2023,"5,347","346,147,000","64,737","1,895,160,500","354,434"
170,170,Marlborough,MIDDLESEX,2023,"41,793","1,524,693,000","36,482","6,865,547,800","164,275"
171,171,Marshfield,PLYMOUTH,2023,"25,825","1,398,900,000","54,168","5,504,694,400","213,154"
172,172,Mashpee,BARNSTABLE,2023,"15,060","626,791,000","41,620","5,990,551,100","397,779"
173,173,Mattapoisett,PLYMOUTH,2023,"6,508","376,081,000","57,787","1,900,482,600","292,023"
174,174,Maynard,MIDDLESEX,2023,"10,746","460,513,000","42,854","1,620,005,500","150,754"
175,175,Medfield,NORFOLK,2023,"12,799","1,274,776,000","99,600","2,985,655,000","233,273"
176,176,Medford,MIDDLESEX,2023,"59,659","2,576,488,000","43,187","12,501,964,700","209,557"
177,177,Medway,NORFOLK,2023,"13,115","736,877,000","56,186","2,494,179,400","190,178"
178,178,Melrose,MIDDLESEX,2023,"29,817","1,608,282,000","53,938","6,208,754,700","208,229"
179,179,Mendon,WORCESTER,2023,"6,228","367,439,000","58,998","1,082,278,300","173,776"
180,180,Merrimac,ESSEX,2023,"6,723","364,789,000","54,260","966,545,100","143,767"
181,181,Methuen,ESSEX,2023,"53,059","1,699,916,000","32,038","6,534,741,900","123,160"
182,182,Middleborough,PLYMOUTH,2023,"24,245","805,712,000","33,232","3,078,877,100","126,990"
183,183,Middlefield,HAMPSHIRE,2023,385,"10,159,000","26,387","73,050,200","189,741"
184,184,Middleton,ESSEX,2023,"9,779","581,197,000","59,433","2,366,454,600","241,994"
185,185,Milford,WORCESTER,2023,"30,379","1,034,640,000","34,058","3,913,410,800","128,820"
186,186,Millbury,WORCESTER,2023,"13,831","515,196,000","37,249","1,940,073,800","140,270"
187,187,Millis,NORFOLK,2023,"8,460","400,704,000","47,365","1,417,727,000","167,580"
188,188,Millville,WORCESTER,2023,"3,174","107,806,000","33,965","337,150,600","106,223"
189,189,Milton,NORFOLK,2023,"28,630","2,228,818,000","77,849","6,817,342,900","238,119"
190,190,Monroe,FRANKLIN,2023,118,"982,000","8,322","28,214,600","239,107"
191,191,Monson,HAMPDEN,2023,"8,150","276,677,000","33,948","853,970,900","104,782"
192,192,Montague,FRANKLIN,2023,"8,580","205,571,000","23,959","953,787,100","111,164"
193,193,Monterey,BERKSHIRE,2023,"1,095","29,613,000","27,044","540,379,700","493,497"
194,194,Montgomery,HAMPDEN,2023,819,"29,728,000","36,298","113,997,900","139,192"
195,195,Mount Washington,BERKSHIRE,2023,160,"3,221,000","20,131","100,069,300","625,433"
196,196,Nahant,ESSEX,2023,"3,334","231,730,000","69,505","1,034,428,700","310,267"
197,197,Nantucket,NANTUCKET,2023,"14,255","843,478,000","59,171","26,096,711,600","1,830,706"
198,198,Natick,MIDDLESEX,2023,"37,006","2,330,827,000","62,985","9,500,063,400","256,717"
199,199,Needham,NORFOLK,2023,"32,091","3,823,782,000","119,154","11,580,160,100","360,854"
200,200,New Ashford,BERKSHIRE,2023,250,"6,924,000","27,696","40,130,500","160,522"
201,201,New Bedford,BRISTOL,2023,"101,079","1,906,151,000","18,858","6,947,603,100","68,734"
202,202,New Braintree,WORCESTER,2023,996,"39,367,000","39,525","125,454,700","125,959"
203,205,New Marlborough,BERKSHIRE,2023,"1,528","54,346,000","35,567","568,276,600","371,909"
